	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	[215, 207, 184]	[215, 207, 184]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[182, 126, 102]	[215, 207, 184]	[215, 207, 184]	[215, 207, 184]
1	[215, 207, 184]	[215, 207, 184]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[81, 52, 51]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[215, 207, 184]	[215, 207, 184]	[215, 207, 184]
2	[215, 207, 184]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[182, 126, 102]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[215, 207, 184]	[215, 207, 184]	[215, 207, 184]
3	[215, 207, 184]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[215, 207, 184]	[215, 207, 184]
4	[182, 126, 102]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[155, 98, 77]	[182, 126, 102]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[215, 207, 184]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[215, 207, 184]	[215, 207, 184]
5	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[155, 98, 77]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[215, 207, 184]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[215, 207, 184]	[215, 207, 184]
6	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[215, 207, 184]	[215, 207, 184]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[215, 207, 184]	[215, 207, 184]
7	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[81, 52, 51]	[182, 126, 102]	[215, 207, 184]	[215, 207, 184]
8	[182, 126, 102]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[182, 126, 102]	[182, 126, 102]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[155, 98, 77]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[81, 52, 51]	[215, 207, 184]	[215, 207, 184]	[215, 207, 184]
9	[215, 207, 184]	[215, 207, 184]	[81, 52, 51]	[182, 126, 102]	[182, 126, 102]	[182, 126, 102]	[155, 98, 77]	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[81, 52, 51]	[155, 98, 77]	[155, 98, 77]	[155, 98, 77]	[182, 126, 102]	[215, 207, 184]	[81, 52, 51]	[215, 207, 184]	[215, 207, 184]	[215, 207, 184]
