	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	[187, 150, 121]	[219, 193, 175]	[219, 193, 175]	[143, 116, 103]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[143, 116, 103]	[143, 116, 103]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[143, 116, 103]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[143, 116, 103]	[143, 116, 103]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[100, 82, 69]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
1	[143, 116, 103]	[143, 116, 103]	[143, 116, 103]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[143, 116, 103]	[187, 134, 104]	[187, 134, 104]	[143, 116, 103]	[143, 116, 103]	[143, 116, 103]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[143, 116, 103]	[187, 134, 104]	[143, 116, 103]	[100, 82, 69]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
2	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[69, 47, 36]	[100, 82, 69]	[143, 116, 103]	[187, 134, 104]	[187, 134, 104]	[187, 134, 104]	[187, 150, 121]	[187, 134, 104]	[187, 134, 104]	[143, 116, 103]	[143, 116, 103]	[100, 82, 69]	[100, 82, 69]	[143, 116, 103]	[143, 116, 103]	[100, 82, 69]	[143, 116, 103]	[187, 134, 104]	[211, 154, 117]	[187, 134, 104]	[187, 134, 104]	[143, 116, 103]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
3	[100, 82, 69]	[100, 82, 69]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[100, 82, 69]	[187, 134, 104]	[187, 134, 104]	[187, 134, 104]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[187, 134, 104]	[187, 134, 104]	[187, 134, 104]	[187, 134, 104]	[187, 134, 104]	[187, 150, 121]	[187, 134, 104]	[187, 134, 104]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[187, 134, 104]	[187, 134, 104]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
4	[100, 82, 69]	[187, 134, 104]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[100, 82, 69]	[187, 134, 104]	[187, 134, 104]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[187, 134, 104]	[187, 134, 104]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[187, 134, 104]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
5	[100, 82, 69]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[143, 116, 103]	[187, 134, 104]	[187, 134, 104]	[211, 154, 117]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[187, 134, 104]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[187, 134, 104]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
6	[100, 82, 69]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[143, 116, 103]	[187, 134, 104]	[211, 154, 117]	[211, 154, 117]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[211, 154, 117]	[211, 154, 117]	[187, 134, 104]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
7	[100, 82, 69]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[100, 82, 69]	[187, 134, 104]	[187, 134, 104]	[187, 150, 121]	[187, 150, 121]	[187, 150, 121]	[187, 150, 121]	[211, 154, 117]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[211, 154, 117]	[211, 154, 117]	[187, 134, 104]	[187, 134, 104]	[187, 134, 104]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
8	[69, 47, 36]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[187, 134, 104]	[187, 134, 104]	[143, 116, 103]	[100, 82, 69]	[143, 116, 103]	[143, 116, 103]	[143, 116, 103]	[143, 116, 103]	[187, 134, 104]	[187, 150, 121]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[217, 168, 135]	[211, 154, 117]	[187, 134, 104]	[187, 134, 104]	[143, 116, 103]	[100, 82, 69]	[100, 82, 69]	[143, 116, 103]	[143, 116, 103]	[187, 134, 104]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
9	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[187, 150, 121]	[187, 150, 121]	[187, 134, 104]	[143, 116, 103]	[143, 116, 103]	[100, 82, 69]	[143, 116, 103]	[143, 116, 103]	[187, 134, 104]	[187, 150, 121]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[211, 154, 117]	[187, 150, 121]	[187, 134, 104]	[143, 116, 103]	[100, 82, 69]	[69, 47, 36]	[100, 82, 69]	[69, 47, 36]	[143, 116, 103]	[143, 116, 103]	[100, 82, 69]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]	[69, 47, 36]
