	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
1	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
2	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[199, 152, 119]	[166, 125, 104]	[199, 152, 119]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
3	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[166, 125, 104]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
4	[85, 65, 53]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
5	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[218, 181, 155]	[218, 181, 155]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
6	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[199, 152, 119]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
7	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
8	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[199, 152, 119]	[166, 125, 104]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[199, 152, 119]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[218, 181, 155]	[199, 152, 119]	[199, 152, 119]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
9	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[199, 152, 119]	[199, 152, 119]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
10	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[199, 152, 119]	[166, 125, 104]	[166, 125, 104]	[85, 65, 53]	[85, 65, 53]	[199, 152, 119]	[218, 181, 155]	[199, 152, 119]	[85, 65, 53]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[166, 125, 104]	[199, 152, 119]	[199, 152, 119]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]	[85, 65, 53]
