	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[152, 104, 80]	[171, 128, 102]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[105, 71, 56]	[171, 128, 102]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
1	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[152, 104, 80]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[105, 71, 56]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
2	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[152, 104, 80]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[105, 71, 56]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
3	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[105, 71, 56]	[105, 71, 56]	[152, 104, 80]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[152, 104, 80]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
4	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[105, 71, 56]	[105, 71, 56]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
5	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[105, 71, 56]	[152, 104, 80]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[171, 128, 102]	[171, 128, 102]	[105, 71, 56]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
6	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[105, 71, 56]	[105, 71, 56]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
7	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[152, 104, 80]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[152, 104, 80]	[171, 128, 102]	[196, 198, 178]	[171, 128, 102]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
8	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[171, 128, 102]	[196, 198, 178]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[152, 104, 80]	[196, 198, 178]	[171, 128, 102]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
9	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[105, 71, 56]	[196, 198, 178]	[196, 198, 178]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[171, 128, 102]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[152, 104, 80]	[152, 104, 80]	[105, 71, 56]	[152, 104, 80]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]	[196, 198, 178]
