	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	[223, 221, 198]	[223, 221, 198]	[153, 125, 100]	[76, 61, 45]	[64, 42, 25]	[64, 42, 25]	[38, 24, 13]	[64, 42, 25]	[38, 24, 13]	[64, 42, 25]	[64, 42, 25]	[64, 42, 25]	[64, 42, 25]	[64, 42, 25]	[64, 42, 25]	[64, 42, 25]	[76, 61, 45]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[64, 42, 25]	[64, 42, 25]	[64, 42, 25]	[209, 181, 147]	[223, 221, 198]	[223, 221, 198]	[223, 221, 198]
1	[223, 221, 198]	[223, 221, 198]	[76, 61, 45]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[64, 42, 25]	[96, 66, 45]	[96, 66, 45]	[96, 66, 45]	[96, 66, 45]	[125, 82, 51]	[125, 82, 51]	[125, 82, 51]	[125, 82, 51]	[96, 66, 45]	[64, 42, 25]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[76, 61, 45]	[64, 42, 25]	[109, 90, 74]	[209, 181, 147]	[223, 221, 198]	[209, 181, 147]
2	[223, 221, 198]	[153, 125, 100]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[96, 66, 45]	[125, 82, 51]	[140, 98, 66]	[163, 106, 67]	[163, 106, 67]	[140, 98, 66]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[189, 128, 85]	[140, 98, 66]	[125, 82, 51]	[125, 82, 51]	[96, 66, 45]	[64, 42, 25]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[76, 61, 45]	[209, 181, 147]	[223, 221, 198]	[209, 181, 147]
3	[223, 221, 198]	[109, 90, 74]	[64, 42, 25]	[64, 42, 25]	[38, 24, 13]	[96, 66, 45]	[140, 98, 66]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[189, 128, 85]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[140, 98, 66]	[140, 98, 66]	[125, 82, 51]	[96, 66, 45]	[64, 42, 25]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[38, 24, 13]	[109, 90, 74]	[223, 221, 198]	[209, 181, 147]
4	[223, 221, 198]	[109, 90, 74]	[64, 42, 25]	[64, 42, 25]	[64, 42, 25]	[125, 82, 51]	[163, 106, 67]	[189, 128, 85]	[163, 106, 67]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[140, 98, 66]	[125, 82, 51]	[96, 66, 45]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[64, 42, 25]	[209, 181, 147]	[209, 181, 147]
5	[223, 221, 198]	[101, 82, 67]	[64, 42, 25]	[38, 24, 13]	[76, 61, 45]	[140, 98, 66]	[163, 106, 67]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[209, 181, 147]	[209, 181, 147]	[209, 181, 147]	[209, 181, 147]	[189, 128, 85]	[209, 181, 147]	[209, 181, 147]	[189, 128, 85]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[125, 82, 51]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[153, 125, 100]	[223, 221, 198]
6	[223, 221, 198]	[90, 75, 62]	[64, 42, 25]	[64, 42, 25]	[76, 61, 45]	[163, 106, 67]	[163, 106, 67]	[163, 106, 67]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[209, 181, 147]	[209, 181, 147]	[209, 181, 147]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[163, 106, 67]	[125, 82, 51]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[153, 125, 100]	[223, 221, 198]
7	[209, 181, 147]	[76, 61, 45]	[64, 42, 25]	[64, 42, 25]	[96, 66, 45]	[163, 106, 67]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[153, 125, 100]	[163, 106, 67]	[163, 106, 67]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[163, 106, 67]	[125, 82, 51]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[76, 61, 45]	[223, 221, 198]
8	[223, 221, 198]	[76, 61, 45]	[64, 42, 25]	[64, 42, 25]	[96, 66, 45]	[125, 82, 51]	[140, 98, 66]	[163, 106, 67]	[140, 98, 66]	[140, 98, 66]	[125, 82, 51]	[125, 82, 51]	[96, 66, 45]	[140, 98, 66]	[163, 106, 67]	[189, 128, 85]	[189, 128, 85]	[189, 128, 85]	[163, 106, 67]	[163, 106, 67]	[125, 82, 51]	[125, 82, 51]	[140, 98, 66]	[189, 128, 85]	[189, 128, 85]	[163, 106, 67]	[140, 98, 66]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[38, 24, 13]	[209, 181, 147]
9	[117, 101, 85]	[109, 90, 74]	[64, 42, 25]	[64, 42, 25]	[101, 82, 67]	[76, 61, 45]	[140, 98, 66]	[140, 98, 66]	[140, 98, 66]	[140, 98, 66]	[125, 82, 51]	[125, 82, 51]	[125, 82, 51]	[125, 82, 51]	[140, 98, 66]	[163, 106, 67]	[163, 106, 67]	[140, 98, 66]	[125, 82, 51]	[96, 66, 45]	[125, 82, 51]	[209, 181, 147]	[153, 125, 100]	[153, 125, 100]	[153, 125, 100]	[125, 82, 51]	[125, 82, 51]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[64, 42, 25]	[209, 181, 147]
10	[64, 42, 25]	[109, 90, 74]	[90, 75, 62]	[117, 101, 85]	[76, 61, 45]	[140, 98, 66]	[153, 125, 100]	[140, 98, 66]	[163, 106, 67]	[189, 128, 85]	[163, 106, 67]	[125, 82, 51]	[140, 98, 66]	[140, 98, 66]	[96, 66, 45]	[163, 106, 67]	[163, 106, 67]	[125, 82, 51]	[125, 82, 51]	[125, 82, 51]	[140, 98, 66]	[140, 98, 66]	[140, 98, 66]	[140, 98, 66]	[140, 98, 66]	[140, 98, 66]	[64, 42, 25]	[76, 61, 45]	[64, 42, 25]	[38, 24, 13]	[38, 24, 13]	[223, 221, 198]
