	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	[230, 198, 166]	[230, 198, 166]	[230, 198, 166]	[230, 198, 166]	[59, 47, 40]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[36, 29, 24]	[36, 29, 24]	[23, 16, 12]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]
1	[230, 198, 166]	[230, 198, 166]	[230, 198, 166]	[130, 103, 92]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[59, 47, 40]	[130, 103, 92]	[130, 103, 92]	[59, 47, 40]	[130, 103, 92]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]
2	[230, 198, 166]	[230, 198, 166]	[230, 198, 166]	[59, 47, 40]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[130, 103, 92]	[178, 145, 119]	[130, 103, 92]	[178, 145, 119]	[130, 103, 92]	[59, 47, 40]	[130, 103, 92]	[130, 103, 92]	[59, 47, 40]	[130, 103, 92]	[59, 47, 40]	[36, 29, 24]	[36, 29, 24]	[23, 16, 12]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[178, 145, 119]	[178, 145, 119]
3	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[59, 47, 40]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]	[178, 145, 119]	[208, 164, 134]	[178, 145, 119]	[178, 145, 119]	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[178, 145, 119]	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[36, 29, 24]	[36, 29, 24]	[23, 16, 12]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[178, 145, 119]	[178, 145, 119]
4	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[36, 29, 24]	[23, 16, 12]	[23, 16, 12]	[23, 16, 12]	[36, 29, 24]	[59, 47, 40]	[130, 103, 92]	[178, 145, 119]	[222, 183, 152]	[178, 145, 119]	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[59, 47, 40]	[178, 145, 119]	[178, 145, 119]	[59, 47, 40]	[130, 103, 92]	[59, 47, 40]	[36, 29, 24]	[23, 16, 12]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[130, 103, 92]	[178, 145, 119]
5	[130, 103, 92]	[222, 183, 152]	[130, 103, 92]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[23, 16, 12]	[59, 47, 40]	[59, 47, 40]	[130, 103, 92]	[178, 145, 119]	[208, 164, 134]	[208, 164, 134]	[130, 103, 92]	[178, 145, 119]	[130, 103, 92]	[59, 47, 40]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[59, 47, 40]	[130, 103, 92]	[59, 47, 40]	[36, 29, 24]	[23, 16, 12]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[130, 103, 92]
6	[130, 103, 92]	[178, 145, 119]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[23, 16, 12]	[23, 16, 12]	[59, 47, 40]	[59, 47, 40]	[130, 103, 92]	[130, 103, 92]	[130, 103, 92]	[178, 145, 119]	[130, 103, 92]	[178, 145, 119]	[130, 103, 92]	[130, 103, 92]	[59, 47, 40]	[178, 145, 119]	[178, 145, 119]	[130, 103, 92]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]	[36, 29, 24]	[23, 16, 12]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]
7	[130, 103, 92]	[178, 145, 119]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[130, 103, 92]	[130, 103, 92]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[208, 164, 134]	[208, 164, 134]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[130, 103, 92]	[130, 103, 92]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]	[59, 47, 40]
8	[130, 103, 92]	[130, 103, 92]	[36, 29, 24]	[23, 16, 12]	[23, 16, 12]	[36, 29, 24]	[178, 145, 119]	[208, 164, 134]	[222, 183, 152]	[222, 183, 152]	[208, 164, 134]	[208, 164, 134]	[208, 164, 134]	[208, 164, 134]	[208, 164, 134]	[222, 183, 152]	[208, 164, 134]	[208, 164, 134]	[208, 164, 134]	[178, 145, 119]	[178, 145, 119]	[178, 145, 119]	[222, 183, 152]	[222, 183, 152]	[230, 198, 166]	[222, 183, 152]	[178, 145, 119]	[59, 47, 40]	[36, 29, 24]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]
9	[130, 103, 92]	[59, 47, 40]	[36, 29, 24]	[23, 16, 12]	[23, 16, 12]	[59, 47, 40]	[178, 145, 119]	[208, 164, 134]	[208, 164, 134]	[222, 183, 152]	[208, 164, 134]	[208, 164, 134]	[208, 164, 134]	[208, 164, 134]	[222, 183, 152]	[222, 183, 152]	[222, 183, 152]	[208, 164, 134]	[208, 164, 134]	[178, 145, 119]	[208, 164, 134]	[178, 145, 119]	[208, 164, 134]	[222, 183, 152]	[222, 183, 152]	[230, 198, 166]	[222, 183, 152]	[130, 103, 92]	[36, 29, 24]	[36, 29, 24]	[59, 47, 40]	[59, 47, 40]
