	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	[217, 212, 196]	[217, 212, 196]	[217, 212, 196]	[217, 212, 196]	[46, 38, 33]	[43, 35, 31]	[32, 31, 29]	[32, 31, 29]	[31, 27, 23]	[31, 27, 23]	[57, 43, 36]	[110, 84, 67]	[125, 100, 81]	[149, 121, 101]	[110, 84, 67]	[70, 57, 44]	[91, 63, 49]	[86, 78, 67]	[70, 57, 44]	[60, 52, 46]	[43, 35, 31]	[32, 31, 29]	[24, 22, 19]	[32, 31, 29]	[43, 35, 31]	[50, 45, 41]	[60, 52, 46]	[60, 52, 46]	[86, 78, 67]	[141, 152, 123]	[141, 152, 123]	[141, 152, 123]
1	[217, 212, 196]	[217, 212, 196]	[217, 212, 196]	[150, 93, 80]	[43, 35, 31]	[32, 31, 29]	[31, 27, 23]	[31, 27, 23]	[31, 27, 23]	[43, 35, 31]	[91, 63, 49]	[149, 121, 101]	[125, 100, 81]	[149, 121, 101]	[125, 100, 81]	[70, 57, 44]	[110, 84, 67]	[110, 84, 67]	[70, 57, 44]	[110, 84, 67]	[44, 33, 26]	[43, 35, 31]	[31, 27, 23]	[32, 31, 29]	[43, 35, 31]	[46, 38, 33]	[60, 52, 46]	[60, 52, 46]	[60, 52, 46]	[141, 152, 123]	[141, 152, 123]	[141, 152, 123]
2	[217, 212, 196]	[217, 212, 196]	[217, 212, 196]	[70, 57, 44]	[43, 35, 31]	[32, 31, 29]	[32, 31, 29]	[31, 27, 23]	[37, 28, 23]	[57, 43, 36]	[125, 100, 81]	[178, 145, 118]	[149, 121, 101]	[160, 132, 110]	[110, 84, 67]	[70, 57, 44]	[125, 100, 81]	[125, 100, 81]	[70, 57, 44]	[110, 84, 67]	[57, 43, 36]	[39, 32, 27]	[31, 27, 23]	[24, 22, 19]	[32, 31, 29]	[32, 31, 29]	[50, 45, 41]	[60, 52, 46]	[50, 45, 41]	[86, 78, 67]	[141, 152, 123]	[141, 152, 123]
3	[79, 105, 136]	[79, 105, 136]	[79, 105, 136]	[46, 38, 33]	[24, 22, 19]	[32, 31, 29]	[31, 27, 23]	[32, 31, 29]	[57, 43, 36]	[91, 63, 49]	[149, 121, 101]	[207, 170, 136]	[160, 132, 110]	[160, 132, 110]	[110, 84, 67]	[86, 78, 67]	[125, 100, 81]	[149, 121, 101]	[125, 100, 81]	[125, 100, 81]	[125, 100, 81]	[43, 35, 31]	[31, 27, 23]	[24, 22, 19]	[31, 27, 23]	[32, 31, 29]	[46, 38, 33]	[50, 45, 41]	[60, 52, 46]	[60, 52, 46]	[141, 152, 123]	[141, 152, 123]
4	[79, 105, 136]	[79, 105, 136]	[79, 105, 136]	[43, 35, 31]	[24, 22, 19]	[24, 22, 19]	[24, 22, 19]	[31, 27, 23]	[57, 43, 36]	[125, 100, 81]	[193, 158, 125]	[216, 181, 147]	[178, 145, 118]	[149, 121, 101]	[149, 121, 101]	[110, 84, 67]	[70, 57, 44]	[160, 132, 110]	[160, 132, 110]	[57, 43, 36]	[125, 100, 81]	[70, 57, 44]	[31, 27, 23]	[24, 22, 19]	[31, 27, 23]	[32, 31, 29]	[31, 27, 23]	[50, 45, 41]	[50, 45, 41]	[50, 45, 41]	[125, 100, 81]	[141, 152, 123]
5	[79, 105, 136]	[199, 179, 157]	[86, 78, 67]	[32, 31, 29]	[24, 22, 19]	[24, 22, 19]	[24, 22, 19]	[50, 45, 41]	[91, 63, 49]	[125, 100, 81]	[178, 145, 118]	[207, 170, 136]	[193, 158, 125]	[125, 100, 81]	[175, 136, 114]	[157, 111, 94]	[91, 63, 49]	[192, 151, 126]	[175, 136, 114]	[178, 145, 118]	[57, 43, 36]	[149, 121, 101]	[57, 43, 36]	[24, 22, 19]	[17, 15, 11]	[24, 22, 19]	[32, 31, 29]	[43, 35, 31]	[60, 52, 46]	[50, 45, 41]	[70, 57, 44]	[125, 100, 81]
6	[79, 105, 136]	[141, 152, 123]	[32, 31, 29]	[32, 31, 29]	[24, 22, 19]	[17, 15, 11]	[32, 23, 15]	[57, 43, 36]	[60, 52, 46]	[86, 78, 67]	[149, 121, 101]	[149, 121, 101]	[160, 132, 110]	[149, 121, 101]	[149, 121, 101]	[157, 111, 94]	[157, 111, 94]	[86, 78, 67]	[160, 132, 110]	[160, 132, 110]	[125, 100, 81]	[70, 57, 44]	[70, 57, 44]	[60, 52, 46]	[43, 35, 31]	[24, 22, 19]	[46, 38, 33]	[32, 31, 29]	[43, 35, 31]	[50, 45, 41]	[70, 57, 44]	[60, 52, 46]
7	[79, 105, 136]	[141, 152, 123]	[43, 35, 31]	[31, 27, 23]	[30, 24, 20]	[30, 24, 20]	[70, 57, 44]	[110, 84, 67]	[149, 121, 101]	[192, 151, 126]	[175, 136, 114]	[175, 136, 114]	[175, 136, 114]	[192, 151, 126]	[202, 156, 128]	[192, 151, 126]	[192, 151, 126]	[178, 145, 118]	[175, 136, 114]	[160, 132, 110]	[160, 132, 110]	[160, 132, 110]	[178, 145, 118]	[160, 132, 110]	[149, 121, 101]	[125, 100, 81]	[43, 35, 31]	[32, 31, 29]	[43, 35, 31]	[50, 45, 41]	[60, 52, 46]	[91, 63, 49]
8	[79, 105, 136]	[79, 105, 136]	[40, 29, 24]	[24, 22, 19]	[24, 22, 19]	[37, 28, 23]	[160, 132, 110]	[193, 158, 125]	[220, 178, 146]	[220, 178, 146]	[206, 166, 135]	[208, 161, 133]	[202, 156, 128]	[202, 156, 128]	[216, 173, 142]	[220, 178, 146]	[206, 166, 135]	[214, 168, 138]	[202, 149, 124]	[191, 144, 117]	[189, 133, 111]	[191, 144, 117]	[220, 184, 151]	[225, 192, 148]	[227, 192, 162]	[199, 179, 157]	[175, 136, 114]	[60, 52, 46]	[43, 35, 31]	[43, 35, 31]	[44, 33, 26]	[91, 63, 49]
9	[79, 105, 136]	[60, 52, 46]	[43, 35, 31]	[30, 24, 20]	[17, 15, 11]	[86, 78, 67]	[193, 158, 125]	[207, 170, 136]	[207, 170, 136]	[220, 178, 146]	[214, 168, 138]	[208, 161, 133]	[208, 161, 133]	[202, 162, 128]	[220, 178, 146]	[220, 184, 151]	[227, 183, 155]	[214, 168, 138]	[202, 156, 128]	[191, 144, 117]	[202, 149, 124]	[202, 149, 124]	[214, 168, 138]	[220, 178, 146]	[216, 181, 147]	[229, 197, 165]	[199, 179, 157]	[149, 121, 101]	[32, 31, 29]	[39, 32, 27]	[46, 38, 33]	[70, 57, 44]
