	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	[192, 184, 173]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[118, 92, 87]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[186, 131, 114]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[47, 42, 48]	[47, 42, 48]	[118, 92, 87]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[196, 151, 129]
1	[192, 184, 173]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[118, 92, 87]	[186, 131, 114]	[186, 131, 114]	[186, 141, 123]	[186, 131, 114]	[186, 141, 123]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[156, 122, 109]	[47, 42, 48]	[47, 42, 48]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
2	[118, 92, 87]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[118, 92, 87]	[186, 131, 114]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[202, 142, 121]	[186, 141, 123]	[186, 141, 123]	[186, 131, 114]	[118, 92, 87]	[47, 42, 48]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
3	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[118, 92, 87]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[196, 151, 129]	[202, 142, 121]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 141, 123]	[186, 141, 123]	[156, 122, 109]	[47, 42, 48]	[47, 42, 48]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
4	[118, 92, 87]	[47, 42, 48]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[186, 141, 123]	[186, 131, 114]	[186, 131, 114]	[118, 92, 87]	[47, 42, 48]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
5	[47, 42, 48]	[47, 42, 48]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 141, 123]	[186, 131, 114]	[156, 122, 109]	[47, 42, 48]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
6	[47, 42, 48]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[196, 151, 129]	[202, 142, 121]	[186, 141, 123]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 131, 114]	[118, 92, 87]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
7	[47, 42, 48]	[118, 92, 87]	[118, 92, 87]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[186, 141, 123]	[186, 141, 123]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[156, 122, 109]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[186, 141, 123]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[118, 92, 87]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
8	[47, 42, 48]	[118, 92, 87]	[186, 141, 123]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[186, 141, 123]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[156, 122, 109]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[156, 122, 109]	[156, 122, 109]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[156, 122, 109]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
9	[47, 42, 48]	[47, 42, 48]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[186, 141, 123]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[186, 131, 114]	[186, 141, 123]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[196, 151, 129]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
10	[47, 42, 48]	[47, 42, 48]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[186, 141, 123]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[186, 131, 114]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[186, 131, 114]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[186, 131, 114]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
11	[186, 141, 123]	[118, 92, 87]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[186, 141, 123]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[196, 151, 129]	[196, 151, 129]	[186, 131, 114]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[186, 131, 114]	[196, 151, 129]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
12	[118, 92, 87]	[118, 92, 87]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[186, 141, 123]	[186, 131, 114]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[47, 42, 48]	[118, 92, 87]	[156, 122, 109]	[47, 42, 48]	[156, 122, 109]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[156, 122, 109]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[118, 92, 87]	[156, 122, 109]	[186, 141, 123]	[196, 151, 129]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
13	[118, 92, 87]	[156, 122, 109]	[186, 141, 123]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[186, 131, 114]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[186, 131, 114]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[196, 151, 129]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
14	[156, 122, 109]	[118, 92, 87]	[186, 141, 123]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[186, 141, 123]	[196, 151, 129]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
15	[156, 122, 109]	[118, 92, 87]	[186, 141, 123]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[202, 142, 121]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[186, 141, 123]	[196, 151, 129]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
16	[118, 92, 87]	[186, 131, 114]	[186, 141, 123]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[186, 141, 123]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[196, 151, 129]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
17	[47, 42, 48]	[186, 131, 114]	[156, 122, 109]	[196, 151, 129]	[186, 141, 123]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[156, 122, 109]	[186, 131, 114]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[196, 151, 129]	[186, 141, 123]	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[47, 42, 48]	[47, 42, 48]
18	[47, 42, 48]	[196, 151, 129]	[156, 122, 109]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[156, 122, 109]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[196, 151, 129]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[196, 151, 129]	[186, 141, 123]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]	[47, 42, 48]
19	[118, 92, 87]	[156, 122, 109]	[156, 122, 109]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[156, 122, 109]	[186, 131, 114]	[47, 42, 48]	[47, 42, 48]	[186, 131, 114]	[118, 92, 87]	[47, 42, 48]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[47, 42, 48]	[47, 42, 48]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[156, 122, 109]
20	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[156, 122, 109]	[186, 141, 123]	[156, 122, 109]	[156, 122, 109]	[186, 131, 114]	[186, 131, 114]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[196, 151, 129]	[196, 151, 129]	[47, 42, 48]	[118, 92, 87]	[192, 184, 173]	[192, 184, 173]	[156, 122, 109]	[192, 184, 173]
21	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[186, 141, 123]	[186, 141, 123]	[186, 131, 114]	[202, 142, 121]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[196, 151, 129]	[196, 151, 129]	[47, 42, 48]	[156, 122, 109]	[186, 141, 123]	[192, 184, 173]	[156, 122, 109]	[192, 184, 173]
22	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[202, 142, 121]	[186, 131, 114]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[186, 141, 123]	[202, 142, 121]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[186, 131, 114]	[202, 142, 121]	[202, 142, 121]	[202, 142, 121]	[196, 151, 129]	[196, 151, 129]	[47, 42, 48]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]	[192, 184, 173]
23	[118, 92, 87]	[118, 92, 87]	[118, 92, 87]	[156, 122, 109]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[186, 141, 123]	[202, 142, 121]	[186, 131, 114]	[186, 131, 114]	[156, 122, 109]	[186, 141, 123]	[186, 131, 114]	[156, 122, 109]	[186, 131, 114]	[156, 122, 109]	[186, 131, 114]	[186, 141, 123]	[186, 131, 114]	[202, 142, 121]	[196, 151, 129]	[196, 151, 129]	[196, 151, 129]	[47, 42, 48]	[156, 122, 109]	[156, 122, 109]	[186, 141, 123]	[192, 184, 173]	[186, 141, 123]
