	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]	[4, 235, 119]
1	[4, 235, 119]	[41, 31, 25]	[41, 31, 25]	[41, 31, 25]	[59, 39, 29]	[41, 31, 25]	[41, 31, 25]	[41, 31, 25]	[59, 39, 29]	[95, 61, 43]	[116, 76, 52]	[100, 67, 47]	[102, 73, 54]	[113, 71, 47]	[130, 90, 64]	[116, 76, 52]	[102, 73, 54]	[100, 67, 47]	[64, 46, 35]	[41, 31, 25]	[38, 23, 17]	[41, 31, 25]	[41, 31, 25]	[55, 33, 23]	[82, 59, 45]	[82, 59, 45]	[77, 45, 31]	[64, 46, 35]	[59, 39, 29]	[55, 33, 23]	[82, 59, 45]	[59, 39, 29]
2	[4, 235, 119]	[38, 23, 17]	[28, 20, 16]	[41, 31, 25]	[64, 46, 35]	[59, 39, 29]	[38, 23, 17]	[41, 31, 25]	[59, 39, 29]	[95, 61, 43]	[100, 67, 47]	[113, 71, 47]	[123, 86, 62]	[130, 90, 64]	[150, 107, 75]	[130, 90, 64]	[131, 96, 70]	[131, 96, 70]	[95, 61, 43]	[82, 59, 45]	[41, 31, 25]	[41, 31, 25]	[41, 31, 25]	[38, 23, 17]	[64, 46, 35]	[100, 67, 47]	[77, 45, 31]	[64, 46, 35]	[64, 46, 35]	[64, 46, 35]	[55, 33, 23]	[64, 46, 35]
3	[4, 235, 119]	[28, 20, 16]	[41, 31, 25]	[55, 33, 23]	[64, 46, 35]	[81, 53, 38]	[41, 31, 25]	[64, 46, 35]	[59, 39, 29]	[100, 67, 47]	[116, 76, 52]	[118, 81, 57]	[123, 86, 62]	[130, 90, 64]	[151, 111, 82]	[131, 96, 70]	[151, 111, 82]	[150, 107, 75]	[131, 96, 70]	[82, 59, 45]	[64, 46, 35]	[59, 39, 29]	[41, 31, 25]	[41, 31, 25]	[41, 31, 25]	[102, 73, 54]	[81, 53, 38]	[55, 33, 23]	[55, 33, 23]	[64, 46, 35]	[59, 39, 29]	[64, 46, 35]
4	[4, 235, 119]	[28, 20, 16]	[41, 31, 25]	[55, 33, 23]	[95, 61, 43]	[81, 53, 38]	[64, 46, 35]	[55, 33, 23]	[81, 53, 38]	[100, 67, 47]	[113, 71, 47]	[118, 81, 57]	[116, 76, 52]	[142, 101, 70]	[168, 123, 90]	[151, 111, 82]	[163, 117, 83]	[163, 117, 83]	[142, 101, 70]	[130, 90, 64]	[100, 67, 47]	[64, 46, 35]	[59, 39, 29]	[38, 23, 17]	[38, 23, 17]	[55, 33, 23]	[82, 59, 45]	[82, 59, 45]	[59, 39, 29]	[59, 39, 29]	[64, 46, 35]	[55, 33, 23]
5	[4, 235, 119]	[28, 20, 16]	[41, 31, 25]	[64, 46, 35]	[100, 67, 47]	[100, 67, 47]	[100, 67, 47]	[59, 39, 29]	[81, 53, 38]	[102, 73, 54]	[116, 76, 52]	[118, 81, 57]	[118, 81, 57]	[142, 101, 70]	[168, 123, 90]	[168, 123, 90]	[179, 132, 96]	[168, 123, 90]	[168, 123, 90]	[130, 90, 64]	[81, 53, 38]	[77, 45, 31]	[102, 73, 54]	[38, 23, 17]	[41, 31, 25]	[28, 20, 16]	[64, 46, 35]	[64, 46, 35]	[55, 33, 23]	[59, 39, 29]	[81, 53, 38]	[82, 59, 45]
6	[4, 235, 119]	[28, 20, 16]	[41, 31, 25]	[59, 39, 29]	[100, 67, 47]	[116, 76, 52]	[113, 71, 47]	[77, 45, 31]	[100, 67, 47]	[118, 81, 57]	[130, 90, 64]	[123, 86, 62]	[123, 86, 62]	[131, 96, 70]	[163, 117, 83]	[168, 123, 90]	[179, 132, 96]	[179, 132, 96]	[168, 123, 90]	[151, 111, 82]	[131, 96, 70]	[131, 96, 70]	[81, 53, 38]	[64, 46, 35]	[41, 31, 25]	[28, 20, 16]	[28, 20, 16]	[82, 59, 45]	[81, 53, 38]	[55, 33, 23]	[59, 39, 29]	[81, 53, 38]
7	[4, 235, 119]	[38, 23, 17]	[41, 31, 25]	[81, 53, 38]	[113, 71, 47]	[126, 82, 54]	[113, 71, 47]	[100, 67, 47]	[113, 71, 47]	[118, 81, 57]	[118, 81, 57]	[130, 90, 64]	[142, 101, 70]	[168, 123, 90]	[168, 123, 90]	[168, 123, 90]	[168, 123, 90]	[168, 123, 90]	[168, 123, 90]	[151, 111, 82]	[151, 111, 82]	[131, 96, 70]	[59, 39, 29]	[102, 73, 54]	[41, 31, 25]	[28, 20, 16]	[28, 20, 16]	[64, 46, 35]	[82, 59, 45]	[55, 33, 23]	[38, 23, 17]	[82, 59, 45]
8	[4, 235, 119]	[38, 23, 17]	[55, 33, 23]	[116, 76, 52]	[123, 86, 62]	[131, 96, 70]	[131, 96, 70]	[118, 81, 57]	[130, 90, 64]	[113, 71, 47]	[142, 101, 70]	[123, 86, 62]	[168, 123, 90]	[179, 132, 96]	[151, 111, 82]	[168, 123, 90]	[168, 123, 90]	[151, 111, 82]	[151, 111, 82]	[151, 111, 82]	[151, 111, 82]	[131, 96, 70]	[123, 86, 62]	[95, 61, 43]	[64, 46, 35]	[28, 20, 16]	[41, 31, 25]	[28, 20, 16]	[82, 59, 45]	[95, 61, 43]	[55, 33, 23]	[59, 39, 29]
9	[4, 235, 119]	[41, 31, 25]	[77, 45, 31]	[113, 71, 47]	[126, 82, 54]	[150, 107, 75]	[150, 107, 75]	[151, 111, 82]	[131, 96, 70]	[131, 96, 70]	[102, 73, 54]	[123, 86, 62]	[118, 81, 57]	[131, 96, 70]	[131, 96, 70]	[131, 96, 70]	[131, 96, 70]	[131, 96, 70]	[142, 101, 70]	[151, 111, 82]	[151, 111, 82]	[123, 86, 62]	[123, 86, 62]	[100, 67, 47]	[102, 73, 54]	[59, 39, 29]	[38, 23, 17]	[28, 20, 16]	[41, 31, 25]	[102, 73, 54]	[95, 61, 43]	[55, 33, 23]
